fips_value,fips,cover
17099,17099,0.76
17101,17101,0.33
17103,17103,0.38
17105,17105,0.97
17107,17107,0.00
17109,17109,0.00
17111,17111,1.00
17113,17113,0.70
17115,17115,0.14
17117,17117,0.00
17119,17119,0.00
17121,17121,0.00
17123,17123,0.06
17125,17125,0.00
17127,17127,1.00
17129,17129,0.00
17131,17131,0.00
17133,17133,1.00
17135,17135,0.00
17137,17137,0.00
17139,17139,0.56
17141,17141,0.46
17143,17143,0.00
17145,17145,1.00
17147,17147,1.00
17149,17149,0.00
17151,17151,1.00
17153,17153,1.00
17155,17155,0.00
17157,17157,1.00
17159,17159,0.00
17161,17161,0.00
17163,17163,0.32
17165,17165,1.00
17167,17167,0.00
17169,17169,0.00
17171,17171,0.00
17173,17173,0.05
17175,17175,0.00
17177,17177,0.00
17179,17179,0.00
17181,17181,1.00
17183,17183,1.00
17185,17185,0.71
17187,17187,0.00
17189,17189,0.64
17191,17191,0.37
17193,17193,1.00
17195,17195,0.00
17197,17197,1.00
17199,17199,1.00
17201,17201,0.64
17203,17203,0.21
18001,18001,1.00
18003,18003,1.00
18005,18005,1.00
18007,18007,1.00
18009,18009,1.00
18011,18011,1.00
18013,18013,1.00
18015,18015,1.00
18017,18017,1.00
18019,18019,1.00
18021,18021,1.00
18023,18023,1.00
18025,18025,1.00
18027,18027,1.00
18029,18029,1.00
18031,18031,1.00
18033,18033,1.00
18035,18035,1.00
18037,18037,1.00
18039,18039,1.00
18041,18041,1.00
18043,18043,1.00
18045,18045,1.00
18047,18047,1.00
18049,18049,1.00
18051,18051,1.00
18053,18053,1.00
18055,18055,1.00
18057,18057,1.00
18059,18059,1.00
18061,18061,1.00
18063,18063,1.00
18065,18065,1.00
18067,18067,1.00
18069,18069,1.00
18071,18071,1.00
18073,18073,1.00
18075,18075,1.00
18077,18077,1.00
18079,18079,1.00
18081,18081,1.00
18083,18083,1.00
18085,18085,1.00
18087,18087,1.00
18089,18089,1.00
18091,18091,1.00
18093,18093,1.00
18095,18095,1.00
18097,18097,1.00
18099,18099,1.00
18101,18101,1.00
18103,18103,1.00
18105,18105,1.00
18107,18107,1.00
18109,18109,1.00
18111,18111,1.00
18113,18113,1.00
18115,18115,1.00
18117,18117,1.00
18119,18119,1.00
18121,18121,1.00
18123,18123,1.00
18125,18125,1.00
18127,18127,1.00
18129,18129,1.00
18131,18131,1.00
18133,18133,1.00
18135,18135,1.00
18137,18137,1.00
18139,18139,1.00
18141,18141,1.00
18143,18143,1.00
18145,18145,1.00
18147,18147,1.00
18149,18149,1.00
18151,18151,1.00
18153,18153,1.00
18155,18155,1.00
18157,18157,1.00
18159,18159,1.00
18161,18161,1.00
18163,18163,1.00
18165,18165,1.00
18167,18167,1.00
18169,18169,1.00
18171,18171,1.00
18173,18173,1.00
18175,18175,1.00
18177,18177,1.00
18179,18179,1.00
18181,18181,1.00
18183,18183,1.00
19001,19001,1.00
19003,19003,1.00
19005,19005,0.00
19007,19007,0.00
19009,19009,1.00
19011,19011,0.00
19013,19013,0.00
19015,19015,0.05
19017,19017,0.00
19019,19019,0.00
19021,19021,0.29
19023,19023,0.00
19025,19025,0.36
19027,19027,1.00
19029,19029,1.00
19031,19031,0.00
19033,19033,0.00
19035,19035,0.67
19037,19037,0.00
19039,19039,0.50
19041,19041,0.00
19043,19043,0.00
19045,19045,0.00
19047,19047,1.00
19049,19049,0.50
19051,19051,0.00
19053,19053,0.45
19055,19055,0.00
19057,19057,0.00
19059,19059,0.00
19061,19061,0.00
19063,19063,0.00
19065,19065,0.00
19067,19067,0.00
19069,19069,0.00
19071,19071,1.00
19073,19073,0.67
19075,19075,0.00
19077,19077,1.00
19079,19079,0.00
19081,19081,0.00
19083,19083,0.00
19085,19085,1.00
19087,19087,0.00
19089,19089,0.00
19091,19091,0.00
19093,19093,1.00
19095,19095,0.00
